"Cursos","Total Repitencias"
"ARQUITECTURA DEL PERÚ ANTIGUO","7"
"ARQUITECTURA DEL PERÚ SIGLOS XIX Y XX","3"
"ARQUITECTURA DEL PERÚ VIRREINAL","3"
"ARQUITECTURA EMPRESARIAL","3"
"ARQUITECTURA PERUANA VIRREINAL","1"
"ARTE CONTEMPORÁNEO","1"
"ARTE DE AMÉRICA ANTIGUA","14"
"ARTE DE LA ANTIGUEDAD CLASICA","1"
"ARTE DE LA PREHISTORIA, ORIENTE Y EGIPTO","6"
"ARTE DEL PERÚ ANTIGUO I","6"
"ARTE DEL PERÚ ANTIGUO II","3"
"ARTE DEL PERU SIGLO XIX","1"
"ARTE DEL PERU SIGLO XX","1"
"ARTE DEL PERÚ VIRREINAL I","5"
"ARTE DEL SIGLO XIX","2"
"ARTE ESPAÑOL DE LOS SIGLOS XVI Y XVII","13"
"ARTE LATINOAMERICANO DEL SIGLO XIX","5"
"ARTE LATINOAMERICANO DEL SIGLO XX","4"
"ARTE LATINOAMERICANO SIGLOS XVI AL XVIII","2"
"ARTE MANIERISTA, BARROCO Y ROCOCO","1"
"ARTE MEDIEVAL","9"
"ARTE RENACENTISTA","14"
"ARTE Y LITERATURA DEL PERÚ Y AMÉRICA LATINA","165"
"ARTES Y MÉTODOS DE PESCA","1"
"ARTRÓPODOS PARÁSITOS Y VECTORES","1"
"ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE","6"
"ATENCION FARMACEUTICA","1"
"ATENCIÓN FARMACÉUTICA","2"
"ATENCIÓN INTEGRAL EN SALUD SEXUAL Y REPRODUCTIVA","1"
"ATENCIÓN Y MANEJO CLÍNICO Y QUIRÚRGICO EN OBSTETRICIA","2"
"ATLETISMO I","2"
"AUDITORIA AMBIENTAL","2"
"AUDITORÍA DE EMPRESAS TURÍSTICAS","1"
"AUDITORÍA DE GESTIÓN Y DESEMPEÑO","2"
"AUDITORIA DE TECNOLOGÍA DE LA INFORMACIÓN","2"
"AUDITORÍA DE TECNOLOGÍA DE LA INFORMACIÓN","1"
"AUDITORIA DEL SECTOR PUBLICO","1"
"AUDITORIA DEL SISTEMA DE INFORMACIÓN","3"
"AUDITORIA FINANCIERA I","23"
"AUDITORÍA FINANCIERA I","8"
"AUDITORIA FINANCIERA II","10"
"AUDITORÍA FINANCIERA II","8"
"AUDITORIA FORENSE","1"
"AUDITORÍA FORENSE","3"
"AUDITORIA INTERNA","1"
"AUDITORÍA INTERNA","4"
"AUDITORIA TRIBUTARIA","10"
"AUDITORÍA TRIBUTARIA","4"
"AUDITORIA TRIBUTARIA I","1"
"AUDITORIA Y SEGURIDAD DE TECNOLOGIAS DE INFORMACIÓN","1"
"AUDITORÍA Y SEGURIDAD EN INFORMÁTICA","4"
"AUDITORÍAS ESPECIALES","4"
"AUTOMATIZACION","17"
"AUTOMATIZACIÓN DE PROCESOS","4"
"AUTOMATIZACIÓN DE PROCESOS INDUSTRIALES","6"
"AUTOMATIZACION INDUSTRIAL","2"
"AUTOMATIZACIÓN INDUSTRIAL I","4"
"AUTOMATIZACIÓN Y CONTROL DE SOFTWARE","3"
"AVANCES EN NANDA NIC - NOC","1"
"AXIOLOGIA","1"
"BACHILLER I","2"
"BACTERIOLOGIA Y MICOLOGÍA VETERINARIA","8"
"BALANCE DE MATERIA Y ENERGIA","1"
"BALONCESTO  Y SU DIDÁCTICA","4"
"BASE DE DATOS","16"
"BASE DE DATOS I","25"
"BASE DE DATOS II","7"
"BASE DE DATOS III","4"
"BASE DE DATOS Y PROGRAMACIÓN VISUAL","44"
"BASES DE DATOS Y PROGRAMACIÓN VISUAL","7"
"BASES FISIOLÓGICAS DE LA FISIOTERAPIA","11"
"BASES GEOMETRICAS DE DISEÑO","2"
"BASES NEUROLÓGICAS DE LA ACTIVIDAD HUMANA","1"
"BÁSQUETBOL I","1"
"BENTOS MARINO","2"
"BIBLIOMETRIA","5"
"BIBLIOTECAS PÚBLICAS Y COMUNIDAD","1"
"BIG DATA ANALYSIS","1"
"BIOANTROPOLOGÍA","4"
"BIO-ANTROPOLOGÍA","2"
"BIOANTROPOMETRÍA FÍSICA","1"
"BIOESTADISTICA","7"
"BIOESTADÍSTICA","24"
"BIOESTADÍSTICA APLICADA A LA SALUD","11"
"BIOESTADISTICA I","8"
"BIOESTADÍSTICA Y DEMOGRAFÍA","8"
"BIOETICA","1"
"BIOÉTICA","2"
"BIOETICA Y DEONTOLOGIA","1"
"BIOÉTICA, ÉTICA PROFESIONAL Y CONDUCTA RESPONSABLE EN INVESTIGACIÓN VETERINARIA","3"
"BIOGEOGRAFÍA","5"
"BIOGEOGRAFÍA GENERAL","2"
"BIOIMAGENES EN RADIODIAGNÓSTICO I","2"
"BIOINFORMÁTICA","3"
"BIOLOGÍA","47"
"BIOLOGÍA ANIMAL","12"
"BIOLOGÍA APLICADA A LA CONSERVACIÓN Y RESTAURACIÓN","3"
"BIOLOGIA CELULAR","3"
"BIOLOGÍA CELULAR","4"
"BIOLOGÍA DE LA CONSERVACIÓN","1"
"BIOLOGÍA DEL DESARROLLO","1"
"BIOLOGÍA GENERAL","3"
"BIOLOGÍA MOLECULAR","12"
"BIOLOGÍA MOLECULAR APLICADA","1"
"BIOLOGÍA PARA CIENCIAS E INGENIERÍA","68"
"BIOLOGÍA VEGETAL","9"
"BIOLOGÍA Y ECOLOGÍA","6"
"BIOMATEMÁTICAS","5"
"BIOMATERIALES","2"
"BIOMECÁNICA","22"
"BIOMECÁNICA Y KINESIOLOGÍA DE LA OCUPACIÓN HUMANA","2"
"BIOQUIMICA","13"
"BIOQUÍMICA","32"
"BIOQUIMICA  AVANZADA","1"
"BIOQUIMICA APLICADA","1"
"BIOQUIMICA AVANZADA","1"
"BIOQUÍMICA CLÍNICA","2"
"BIOQUÍMICA DE LOS RECURSOS VEGETALES","4"
"BIOQUIMICA GENERAL","11"
"BIOQUÍMICA GENERAL","7"
"BIOQUIMICA I","6"
"BIOQUÍMICA I","4"
"BIOQUIMICA II","9"
"BIOQUÍMICA II","1"
"BIOQUÍMICA Y BIOLOGÍA MOLECULAR","2"
"BIOQUÍMICA Y FISIOLOGÍA PARASITARIA","1"
"BIOQUÍMICA Y NUTRICIÓN","19"
"BIOTECNOLOGIA","3"
"BIOTECNOLOGÍA","1"
"BIOTECNOLOGÍA MICROBIANA","3"
"BOTANICA","5"
"BOTÁNICA ECONÓMICA","2"
"BOTÁNICA GENERAL","5"
"BRIÓFITOS Y PTERIDÓFITOS","2"
"BROMATOLOGÍA","1"
"BUCEO CIENTÍFICO","1"
"BUSINESS GAME","2"
"BÚSQUEDA DE INFORMACIÓN DE MEDICAMENTO","3"
"BÚSQUEDA Y GESTIÓN DE INFORMACIÓN","1"
"CADENA DE SUMINISTROS","2"
"CÁLCULO ACTUARIAL","1"
"CÁLCULO I","537"
"CÁLCULO II","335"
"CALCULO III","10"
"CÁLCULO III","108"
"CALCULO IV","41"
"CÁLCULO IV","25"
"CÁLCULOS BÁSICOS EN QUÍMICA","44"
"CÁLCULOS ECONÓMICOS EN INGENIERÍA","3"
"CALCULOS ECONOMICOS EN INGENIERIA QUIMICA","3"
"CALIDAD DE ENERGIA ELECTRICA","1"
"CALIDAD DE SOFTWARE","1"
"CALIDAD Y PRUEBA DE SOFTWARE","1"
"CAMPOS SOCIALES PROBLEMÁTICOS","1"
"CÁNCER: ASPECTOS PATOLÓGICOS","3"
"CAPACITACIÓN Y DESARROLLO DEL TALENTO HUMANO","1"
"CARTOGRAFÍA","8"
"CARTOGRAFIA APLICADA","5"
"CARTOGRAFÍA AUTOMATIZADA","1"
"CARTOGRAFÍA GENERAL","4"
"CATASTRO","2"
"CATASTRO Y SANEAMIENTO FISICO LEGAL","1"
"CERAMOGRAFIA","1"
"CIENCIA POLÍTICA","2"
"CIENCIA Y SU APLICACIÓN EN CIENCIAS DE LA SALUD","47"
"CIENCIAS DE LA COMPUTACIÓN II","3"
"CIENCIAS DE LA COMPUTACIÓN III","1"
"CIENCIAS DE LA COMPUTACION V","1"
"CIENCIAS DE LA NATURALEZA I","10"
"CIENCIAS DE LA NATURALEZA II","27"
"CIENCIAS DE LA RELIGION","7"
"CIENCIAS DE LA RELIGIÓN I","6"
"CIENCIAS DE LA RELIGION II","4"
"CIENCIAS NATURALES Y ECOLOGÍA","2"
"CIENCIAS SOCIALES","2"
"CIENCIAS SOCIALES Y DISCAPACIDAD","1"
"CINETICA QUIMICA","1"
"CIRCUITOS DE RADIOFRECUENCIA","2"
"CIRCUITOS DIGITALES","51"
"CIRCUITOS DIGITALES I","6"
"CIRCUITOS DIGITALES II","1"
"CIRCUITOS ELÉCTRICOS","3"
"CIRCUITOS ELECTRICOS I","13"
"CIRCUITOS ELÉCTRICOS I","60"
"CIRCUITOS ELECTRICOS II","14"
"CIRCUITOS ELÉCTRICOS II","15"
"CIRCUITOS ELECTRÓNICOS","5"
"CIRCUITOS ELECTRONICOS I","45"
"CIRCUITOS ELECTRÓNICOS I","29"
"CIRCUITOS ELECTRONICOS II","12"
"CIRCUITOS ELECTRÓNICOS II","13"
"CIRCUITOS ELECTRÓNICOS III","38"
"CIRUGIA BUCAL MAXILO FACIAL II","1"
"CIRUGÍA BUCO MÁXILO FACIAL V","1"
"CIRUGÍA BUCO MÁXILO FACIAL VI","1"
"CITODIAGNÓSTICO","4"
"CITOGENÉTICA","2"
"CITOGENÉTICA GENERAL","2"
"CITOGENÉTICA HUMANA","1"
"CITOLOGIA","1"
"CIVILIZACIONES DEL MUNDO CLÁSICO","3"
"CIVILIZACIONES DEL VIEJO MUNDO II","4"
"CLASE, ETNICIDAD Y NACIÓN","5"
"CLIMATOLOGÍA","4"
"CLÍNICA BÁSICA","1"
"CLINICA INTEGRADA DEL ADULTO II","3"
"CLINICA INTEGRADA DEL ADULTO III","5"
"CLINICA INTEGRADA DEL ADULTO IV","8"
"CLINICA INTEGRAL DEL NIÑO Y ADOLESCENTE II","2"
"CLÍNICA JURÍDICA DE LITIGIO ESTRUCTURAL","1"
"COACHING","1"
"CODIGO TRIBUTARIO APLICADO","19"
"COMERCIALIZACIÓN DE MINERALES Y METALES","9"
"COMERCIO INTERNACIONAL","3"
"COMERCIO INTERNACIONAL B","1"
"COMERCIO INTERNACIONAL Y LEGISLACION ADUANERA","3"
"COMPLEMENTO DE MATEMÁTICA","12"
"COMPLEMENTO DE MATEMATICAS","1"
"COMPLEMENTOS DE MATEMÁTICA","9"
"COMPORTAMIENTO DEL CONSUMIDOR","2"
"COMPORTAMIENTO ORGANIZACIONAL","8"
"COMPORTAMIENTO POLITICO","2"
"COMPOSICIÓN DEL ALIMENTO Y TÉCNICAS CULINARIAS SALUDABLES","1"
"COMPUTACIÓN APLICADA A LA INGENIERÍA","3"
"COMPUTACIÓN ESTADÍSTICA","2"
"COMPUTACIÓN FÍSICA","2"
"COMPUTACIÓN GRÁFICA","10"
"COMPUTACIÓN GRÁFICA PARA DISEÑO TEXTIL","10"
"COMPUTACIÓN GRÁFICA Y VISUAL","10"
"COMPUTACIÓN VISUAL","41"
"COMUNICACIÓN ANALÓGICA","15"
"COMUNICACIÓN DIGITAL","23"
"COMUNICACIÓN EN LAS ORGANIZACIONES","7"
"COMUNICACIÓN ESCÉNICA","3"
"COMUNICACIÓN INTEGRAL II","1"
"COMUNICACIÓN INTERCULTURAL","3"
"COMUNICACION POLÍTICA","4"
"COMUNICACIÓN POLÍTICA","1"
"COMUNICACIÓN VIRTUAL","1"
"COMUNICACIÓN Y CRISIS","1"
"COMUNICACIÓN Y LITERATURA","3"
"COMUNICACIÓN Y RESOLUCIÓN DE CONFLICTOS","51"
"COMUNICACIÓN, SOCIEDAD Y CULTURA","2"
"CONCENTRACION DE MINERALES","2"
"CONCENTRACION Y FLOTACION DE MINERALES","2"
"CONCRETO","4"
"CONCRETO ARMADO","4"
"CONCRETO ARMADO I","2"
"CONCRETO ARMADO II","1"
"CONFLICTOS Y MOVIMIENTOS SOCIALES","2"
"CONFORMADO DE METALES I","20"
"CONFORMADO DE METALES II","15"
"CONOCIMIENTO ETNOGRÁFICO","4"
"CONSERVACIÓN DE BIENES ARQUEOLÓGICOS","3"
"CONSERVACIÓN DE PATRIMONIO ARQUEOLÓGICO MUEBLE","3"
"CONSERVACIÓN DOCUMENTAL","7"
"CONSERVACIÓN PREVENTIVA DE BIENES ARQUEOLÓGICOS","3"
"CONSERVACIÓN PREVENTIVA I","1"
"CONSERVACIÓN PREVENTIVA II","1"
"CONSTITUCIÓN Y DERECHOS HUMANOS.","2"
"CONSTRUCCION DE PRUEBAS","3"
"CONSTRUCCION I","20"
"CONSTRUCCION II","3"
"CONSULTORÍA ESTADÍSTICA","1"
"CONTABILIDAD","3"
"CONTABILIDAD ADMINISTRATIVA","5"
"CONTABILIDAD DE  COSTOS  II","2"
"CONTABILIDAD DE COSTOS I","37"
"CONTABILIDAD DE COSTOS II","21"
"CONTABILIDAD DE GESTION","23"
"CONTABILIDAD DE GESTIÓN","23"
"CONTABILIDAD DEL SECTOR PUBLICO","37"
"CONTABILIDAD DEL SECTOR PÚBLICO","21"
"CONTABILIDAD EMPRESARIAL","31"
"CONTABILIDAD EMPRESARIAL B","2"
"CONTABILIDAD FINANCIERA","85"
"CONTABILIDAD FINANCIERA I","36"
"CONTABILIDAD FINANCIERA II","75"
"CONTABILIDAD FINANCIERA III","66"
"CONTABILIDAD GENERAL","7"
"CONTABILIDAD GERENCIAL","2"
"CONTABILIDAD INTERNACIONAL","14"
"CONTABILIDAD PARA LA GESTIÓN","1"
"CONTABILIDAD SECTORIAL","20"
"CONTABILIDAD SECTORIAL II","2"
"CONTABILIDAD Y GESTIÓN DEL COMERCIO INTERNACIONAL","1"
"CONTAMINACIÓN AMBIENTAL","7"
"CONTAMINACION AMBIENTAL E HIGIENE INDUSTRIAL","1"
"CONTAMINACION ATMOSFERICA Y CAMBIO CLIMATICO","4"
"CONTRATACIÓN PÚBLICA","10"
"CONTROL  DE CALIDAD","1"
"CONTROL DE CALIDAD","6"
"CONTROL DE CALIDAD B","1"
"CONTROL DE CALIDAD TEXTIL","2"
"CONTROL DE PROCESOS","8"
"CONTROL ESTADISTICO DE CALIDAD","1"
"CONTROL INTERNO","1"
"CONTROL INTERNO Y GESTION DE RIESGOS","12"
"CONTROL INTERNO Y GESTIÓN DE RIESGOS","7"
"CONTROLES ELECTRICOS Y AUTOMATIZACION","4"
